born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Physiology or Medicine	Argentina	1927-10-08	2002-03-24	male	http://en.wikipedia.org/wiki/C%C3%A9sar_Milstein	César Milstein	Bahía Blanca ,  Argentina	Cambridge , England	César Milstein , Physiology or Medicine, 1984	1984	57
Bosnia and Herzegovina	Literature	Bosnia and Herzegovina	1892-10-09	1975-03-13	male	http://en.wikipedia.org/wiki/Ivo_Andric	Ivo Andric	Dolac (village near Travnik), Austria-Hungary (present-day Bosnia and Herzegovina)	Belgrade, SR Serbia, SFR Yugoslavia (present-day Serbia)	Ivo Andric *,  born in then  Austria–Hungary , now Bosnia and Herzegovina , Literature, 1961	1961	69
	Peace	Belgium	1829-07-26	1912-10-06	male	http://en.wikipedia.org/wiki/Auguste_Marie_Fran%C3%A7ois_Beernaert	Auguste Beernaert	Ostend ,  Netherlands  (now  Belgium )	Lucerne ,  Switzerland	Auguste Beernaert , Peace, 1909	1909	80
	Literature	Belgium	1862-08-29	1949-05-06	male	http://en.wikipedia.org/wiki/Maurice_Maeterlinck	Maurice Maeterlinck	Ghent ,  Belgium	Nice ,  France	Maurice Maeterlinck , Literature, 1911	1911	49
	Peace	Belgium	1854-04-22	1943-05-14	male	http://en.wikipedia.org/wiki/Henri_La_Fontaine	Henri La Fontaine	Brussels	Belgium	Henri La Fontaine , Peace, 1913	1913	59
	Physiology or Medicine	Belgium	1870-06-13	1961-04-06	male	http://en.wikipedia.org/wiki/Jules_Bordet	Jules Bordet	Soignies, Belgium		Jules Bordet , Physiology or Medicine, 1919	1919	49
	Physiology or Medicine	Belgium	1892-03-28	1968-07-18	male	http://en.wikipedia.org/wiki/Corneille_Heymans	Corneille Heymans	Ghent ,  Flanders	Knokke ,  Flanders	Corneille Heymans , Physiology or Medicine, 1938	1938	46
	Peace	Belgium	1910-02-10	1969-01-30	male	http://en.wikipedia.org/wiki/Georges_Pire	Georges Pire	Dinant ,  Belgium	Leuven , Belgium	Georges Pire , Peace, 1958	1958	48
	Physiology or Medicine	Belgium	1899-08-24	1983-05-22	male	http://en.wikipedia.org/wiki/Albert_Claude	Albert Claude	Longlier,  Neufchâteau, Belgium	Brussels , Belgium	Albert Claude , Physiology or Medicine, 1974	1974	75
United Kingdom	Physiology or Medicine	Belgium	1917-10-02	2013-05-04	male	http://en.wikipedia.org/wiki/Christian_de_Duve	Christian de Duve	Thames Ditton, Surrey, United Kingdom	Grez-Doiceau, Belgium	Christian de Duve ,  born in the United Kingdom , Physiology or Medicine, 1974	1974	57
Russia	Chemistry	Belgium	1917-01-25	2003-05-28	male	http://en.wikipedia.org/wiki/Ilya_Prigogine	Ilya Prigogine	Moscow ,  Russia	Brussels ,  Belgium	Ilya Prigogine ,  born in Russia , Chemistry, 1977	1977	60
	Physics	Belgium	1932-11-06		male	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Englert	François Englert	Etterbeek ,  Brussels ,  Belgium		François Englert , Physics, 2013	2013	81
	Literature	Denmark	1857-06-02	1919-10-13	male	http://en.wikipedia.org/wiki/Karl_Adolph_Gjellerup	Karl Adolph Gjellerup	Roholte vicarage at  Præstø , Denmark	Klotzsche , Germany	Karl Adolph Gjellerup , Literature, 1917	1917	60
	Physiology or Medicine	Denmark	1874-11-15	1949-09-13	male	http://en.wikipedia.org/wiki/August_Krogh	August Krogh			August Krogh , Physiology or Medicine, 1920	1920	46
	Physics	Denmark	1885-10-07	1962-11-18	male	http://en.wikipedia.org/wiki/Niels_Bohr	Niels Bohr	Copenhagen, Denmark	Copenhagen, Denmark	Niels Bohr , Physics, 1922	1922	37
	Physiology or Medicine	Denmark	1867-04-23	1928-01-30	male	http://en.wikipedia.org/wiki/Johannes_Andreas_Grib_Fibiger	Johannes Andreas Grib Fibiger	Silkeborg	Copenhagen	Johannes Andreas Grib Fibiger , Physiology or Medicine, 1926	1926	59
	Physiology or Medicine	Denmark	1895-02-21	1976-04-17	male	http://en.wikipedia.org/wiki/Henrik_Dam	Henrik Dam			Henrik Dam , Physiology or Medicine, 1943	1943	48
	Literature	Denmark	1873-01-20	1950-11-25	male	http://en.wikipedia.org/wiki/Johannes_Vilhelm_Jensen	Johannes Vilhelm Jensen	Farsø, Jutland, Denmark	Østerbro, Copenhagen, Denmark	Johannes Vilhelm Jensen , Literature, 1944	1944	71
	Physics	Denmark	1926-07-09		male	http://en.wikipedia.org/wiki/Ben_Roy_Mottelson	Ben Roy Mottelson	Chicago, Illinois		Ben Roy Mottelson , Physics, 1975	1975	49
	Physics	Denmark	1922-06-19	2009-09-08	male	http://en.wikipedia.org/wiki/Aage_Bohr	Aage Bohr	Copenhagen ,  Denmark	Copenhagen ,  Denmark	Aage Bohr , Physics, 1975	1975	53
United Kingdom	Physiology or Medicine	Denmark	1911-12-23	1994-10-07	male	http://en.wikipedia.org/wiki/Niels_Kaj_Jerne	Niels Kaj Jerne			Niels Kaj Jerne , Physiology or Medicine, 1984	1984	73
	Chemistry	Denmark	1918-10-08		male	http://en.wikipedia.org/wiki/Jens_Christian_Skou	Jens Christian Skou	Lemvig ,  Denmark		Jens Christian Skou , Chemistry, 1997	1997	79
Czech Republic	Physiology or Medicine	Czech Republic	1896-12-05	1984-10-20	male	http://en.wikipedia.org/wiki/Carl_Ferdinand_Cori	Carl Ferdinand Cori	Prague	Cambridge, Massachusetts	Carl Ferdinand Cori *,  born in then Austria-Hungary , Physiology or Medicine, 1947	1947	51
	Chemistry	Czech Republic	1890-12-20	1967-03-27	male	http://en.wikipedia.org/wiki/Jaroslav_Heyrovsk%C3%BD	Jaroslav Heyrovský	Prague ,  Bohemia	Cambridge ,  England	Jaroslav Heyrovský , Chemistry, 1959	1959	69
	Literature	Czech Republic	1901-09-23	1986-01-10	male	http://en.wikipedia.org/wiki/Jaroslav_Seifert	Jaroslav Seifert	Žižkov ,  Austria-Hungary	Prague ,  Czechoslovakia	Jaroslav Seifert , Literature, 1984	1984	83
	Economics	Cyprus	1948-02-20		male	http://en.wikipedia.org/wiki/Christopher_A._Pissarides	Christopher A. Pissarides	Nicosia, Cyprus		Christopher A. Pissarides , Economics, 2010	2010	62
	Chemistry	France	1897-09-12	1956-03-17	female	http://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie	Irène Joliot-Curie	Paris, France	Paris, France	Irène Joliot-Curie , Chemistry, 1935	1935	38
	Chemistry	France	1900-03-19	1958-08-14	male	http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Joliot	Frédéric Joliot	Paris, France	Paris, France	Frédéric Joliot , Chemistry, 1935	1935	35
	Literature	France	1881-03-23	1958-08-22	male	http://en.wikipedia.org/wiki/Roger_Martin_du_Gard	Roger Martin du Gard	Neuilly-sur-Seine ,  Hauts-de-Seine	Sérigny, Orne	Roger Martin du Gard , Literature, 1937	1937	56
	Literature	France	1869-11-22	1951-02-19	male	http://en.wikipedia.org/wiki/Andr%C3%A9_Gide	André Gide	Paris	Paris	André Gide , Literature, 1947	1947	78
	Peace	France	1879-07-01	1954-04-28	male	http://en.wikipedia.org/wiki/L%C3%A9on_Jouhaux	Léon Jouhaux			Léon Jouhaux , Peace, 1951	1951	72
Germany	Peace	France	1875-01-14	1965-09-04	male	http://en.wikipedia.org/wiki/Albert_Schweitzer	Albert Schweitzer	Kaysersberg ,  Elsass-Lothringen , Germany (now in  Haut-Rhin , Alsace, France)	Lambaréné , Gabon	Albert Schweitzer ,  born in Alsace, then in Germany , Peace, 1952	1952	77
	Literature	France	1885-10-11	1970-09-01	male	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Mauriac	François Mauriac	Bordeaux ,  France	Paris , France	François Mauriac , Literature, 1952	1952	67
	Physiology or Medicine	France	1895-09-24	1988-02-19	male	http://en.wikipedia.org/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand	André Frédéric Cournand	Paris	Great Barrington ,  Berkshire County, Massachusetts	André Frédéric Cournand , Physiology or Medicine, 1956	1956	61
	Literature	France	1913-11-07	1960-01-04	male	http://en.wikipedia.org/wiki/Albert_Camus	Albert Camus	Mondovi , Algeria	Villeblevin , France	Albert Camus ,  born in French Algeria , Literature, 1957	1957	44
	Literature	France	1887-05-31	1975-09-20	male	http://en.wikipedia.org/wiki/Saint-John_Perse	Saint-John Perse	Pointe-à-Pitre ,  Guadeloupe	Presq'ile-de-Giens ,  Provence , France	Saint-John Perse , Literature, 1960	1960	73
	Literature	France	1905-06-21	1980-04-15	male	http://en.wikipedia.org/wiki/Jean-Paul_Sartre	Jean-Paul Sartre	Paris, France	Paris, France	Jean-Paul Sartre , (declined the prize), Literature, 1964	1964	59
	Physiology or Medicine	France	1902-05-08	1994-09-30	male	http://en.wikipedia.org/wiki/Andr%C3%A9_Michel_Lwoff	André Lwoff	Ainay-le-Château	Paris, France	André Lwoff , Physiology or Medicine, 1965	1965	63
	Physiology or Medicine	France	1910-02-09	1976-05-31	male	http://en.wikipedia.org/wiki/Jacques_Monod	Jacques Monod	Paris, France	Cannes, France	Jacques Monod , Physiology or Medicine, 1965	1965	55
	Physiology or Medicine	France	1920-06-17	2013-04-19	male	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Jacob	François Jacob	Nancy, Meurthe-et-Moselle	Paris , France	François Jacob , Physiology or Medicine, 1965	1965	45
	Physics	France	1902-05-03	1984-01-07	male	http://en.wikipedia.org/wiki/Alfred_Kastler	Alfred Kastler	Guebwiller	Bandol ,  France	Alfred Kastler , Physics, 1966	1966	64
	Peace	France	1887-10-05	1976-02-20	male	http://en.wikipedia.org/wiki/Ren%C3%A9_Cassin	René Cassin			René Cassin , Peace, 1968	1968	81
	Chemistry	Germany	1918-11-10	2007-07-23	male	http://en.wikipedia.org/wiki/Ernst_Otto_Fischer	Ernst Otto Fischer	Solln, since 1938 part of Munich,  German Empire	Munich,  Germany	Ernst Otto Fischer , Chemistry, 1973	1973	55
	Chemistry	Germany	1897-06-16	1987-08-26	male	http://en.wikipedia.org/wiki/Georg_Wittig	Georg Wittig	Berlin, Germany	Heidelberg ,  West Germany	Georg Wittig , Chemistry, 1979	1979	82
Germany	Physiology or Medicine	Germany	1946-04-17	1995-03-01	male	http://en.wikipedia.org/wiki/Georges_J.F._K%C3%B6hler	Georges J.F. Köhler	Munich	Freiburg im Breisgau	Georges J.F. Köhler *, Physiology or Medicine, 1984	1984	38
	Physics	Germany	1943-06-28		male	http://en.wikipedia.org/wiki/Klaus_von_Klitzing	Klaus von Klitzing	Schroda (Posen)		Klaus von Klitzing , Physics, 1985	1985	42
	Physics	Germany	1947-07-20		male	http://en.wikipedia.org/wiki/Gerd_Binnig	Gerd Binnig	Frankfurt am Main		Gerd Binnig , Physics, 1986	1986	39
	Physics	Germany	1906-12-25	1988-05-27	male	http://en.wikipedia.org/wiki/Ernst_Ruska	Ernst Ruska	Heidelberg ,  Germany	West Berlin ,  Germany	Ernst Ruska , Physics, 1986	1986	80
	Physics	Germany	1950-05-16		male	http://en.wikipedia.org/wiki/J._Georg_Bednorz	J. Georg Bednorz	Neuenkirchen ,  North Rhine-Westphalia ,  Germany		J. Georg Bednorz , Physics, 1987	1987	37
	Chemistry	Germany	1948-07-18		male	http://en.wikipedia.org/wiki/Hartmut_Michel	Hartmut Michel	Ludwigsburg		Hartmut Michel , Chemistry, 1988	1988	40
